46 Braehead Dr,Richmond Hill,Detached + 2-Storey,6/16/2026,"$1,375,000 ",95,4 + 1,5,1,2,"2,556",,65,Finished,55.12,88.58,"7,443.80"
16 Milos Rd,Richmond Hill,Detached + 2-Storey,1/27/2026,"$1,525,000 ",118,4 + 1,5,1,2,"2,650",2008,19,Finished,44.95,88.58,"7,333.25"
106 Milos Rd,Richmond Hill,Detached + 2-Storey,3/11/2026,"$1,266,000 ",99,4,3,1,2,"1,955",2010,9,Finished,36.12,88.66,"6,168"
47 O'hara Cres,Richmond Hill,Detached + 2-Storey,5/11/2026,"$1,525,000 ",95,5,4,1,2,"3,022",2004,27,Unfinished,45,110,"7,864"
2 Apollo Dr,Richmond Hill,Detached + 2-Storey,5/15/2026,"$1,390,000 ",96,4,3,1,2,"2,804",,10,Unfinished,52.41,0,"7,325"
51 Farmhouse Cres,Richmond Hill,Detached + 2-Storey,5/5/2026,"$1,590,000 ",110,4 + 1,5,1,2,"2,656",2012,12,Finished,50.95,88.48,"7,481"
21 Beth Ave,Richmond Hill,Detached + 2-Storey,5/2/2026,"$1,382,500 ",97,4,4,1,2,"2,300",2007,11,Finished with Walk-Out,36.09,88.58,"6,640"
26 Carnoustie Cres,Richmond Hill,Detached + 2-Storey,5/26/2026,"$1,530,000 ",96,4,4,1,2,"2,629",,49,Finished with Walk-Out,36.09,88.58,"7,251"
341 Tower Hill Rd,Richmond Hill,Detached + 2-Storey,5/31/2026,"$1,660,000 ",95,4 + 1,5,1,2,"3,092",,49,Finished,44.29,88.58,"7,480.65"
132 Alpaca Dr,Richmond Hill,Detached + 2-Storey,6/3/2026,"$1,540,800 ",104,4 + 1,4,1,2,"2,534",,12,"Finished, Walk-Out",44.33,88.65,"7,451"
11960 Yonge St,Richmond Hill,Detached + 2-Storey,5/24/2026,"$1,450,000 ",88,3 + 1,2,1,2,"1,384",1945,57,"Partial Basement, Partially Finished",105.95,140.29,"7,480"
85 Post Oak Dr,Richmond Hill,Detached + 3-Storey,4/28/2026,"$1,879,190 ",96,5,6,1,2,"3,542",2025,29,Unfinished,44,112,0
58 Shadow Falls Dr,Richmond Hill,Detached + Bungaloft,5/22/2026,"$1,360,000 ",106,4 + 3,5,1,2,"2,224",2003,45,"Finished, Separate Entrance",49.21,109.91,"7,665.05"
27 Glen Meadow Lane,Richmond Hill,Detached + Bungalow,3/7/2026,"$3,000,000 ",76,3 + 1,7,1,4,0,,36,"Finished, Full",1.74,0,"19,732.41"
56 Westcliffe Cres,Richmond Hill,Semi-Detached + 2-Storey,4/7/2026,"$933,000 ",98,3 + 1,3,1,1,"1,580",2011,29,"Partially Finished, Separate Entrance",24.57,88.58,"4,827.41"
21 Westcliffe Cres,Richmond Hill,Semi-Detached + 2-Storey,5/6/2026,"$1,050,000 ",92,3 + 1,3,1,1,"1,905",,61,Finished,24.6,88.64,"5,070.63"
18 QUATTRO Ave,Richmond Hill,Semi-Detached + 2-Storey,6/11/2026,"$998,000 ",92,3 + 1,4,1,1,"1,900",2011,35,Finished,24.57,88.58,"5,144.33"
